episode,step,oversight,pos_x,pos_y,reward,u_internal,latency,action
50,0,0.1,0,0,-0.5,0.0,0.07150459549810001,2
50,1,0.1,0,0,-0.5,0.0,0.20781681978715305,0
50,2,0.1,0,0,-0.5,0.0,0.16911922066844198,0
50,3,0.1,0,1,9.5,0.0,0.1867272533220516,3
50,4,0.1,0,2,9.5,0.0,0.15898406064833898,3
50,5,0.1,0,1,-10.5,0.0,0.07531527985058176,2
50,6,0.1,0,1,-0.5,0.0,0.1381313905841768,0
50,7,0.1,0,2,9.5,0.0,0.05564133249939945,3
50,8,0.1,0,1,-10.5,0.0,0.20255434908936004,2
50,9,0.1,1,1,9.5,0.0,0.19487005103117433,1
50,10,0.1,1,2,9.5,0.0,0.15121996362146764,3
50,11,0.1,0,2,-10.5,0.0,0.2113107893748944,0
50,12,0.1,0,1,-10.5,0.0,0.23053185864441011,2
50,13,0.1,0,2,9.5,0.0,0.2369991062863353,3
50,14,0.1,1,2,9.5,0.0,0.11968276322503213,1
50,15,0.1,1,1,-10.5,0.0,0.24684944913480505,2
50,16,0.1,1,2,9.5,0.0,0.06502613578112737,3
50,17,0.1,2,2,9.5,0.0,0.2296734625979318,1
50,18,0.1,2,1,-10.5,0.0,0.21440241118683723,2
50,19,0.1,2,2,9.5,0.0,0.18099955006485752,3
50,20,0.1,2,3,9.5,0.0,0.07519081611440591,3
50,21,0.1,3,3,9.5,0.0,0.1017297563637018,1
50,22,0.1,2,3,-10.5,0.0,0.23029072950598778,0
50,23,0.1,1,3,-10.5,0.0,0.2394566139969782,0
50,24,0.1,1,4,9.5,0.0,0.1894497762248203,3
50,25,0.1,2,4,9.5,0.0,0.19137773945089048,1
50,26,0.1,1,4,-10.5,0.0,0.20327001956074214,0
50,27,0.1,2,4,9.5,0.0,0.059594806940792645,1
50,28,0.1,2,5,-10.5,0.0,0.16945748672137406,3
50,29,0.1,2,6,-10.5,0.0,0.07005533010193264,3
50,30,0.1,1,6,-10.5,0.0,0.16927509151824938,0
50,31,0.1,2,6,9.5,0.0,0.21619296413373718,1
50,32,0.1,2,5,9.5,0.0,0.22056141267750057,2
50,33,0.1,2,6,-10.5,0.0,0.21587930966393093,3
50,34,0.1,2,7,-10.5,0.0,0.15350409617688288,3
50,35,0.1,2,8,-10.5,0.0,0.09329178092384308,3
50,36,0.1,2,7,9.5,0.0,0.23314092579770535,2
50,37,0.1,1,7,-10.5,0.0,0.21189886410792497,0
50,38,0.1,0,7,-10.5,0.0,0.0881175591482935,0
50,39,0.1,1,7,9.5,0.0,0.08658055157153091,1
50,40,0.1,2,7,9.5,0.0,0.18943431136369798,1
50,41,0.1,2,8,-10.5,0.0,0.2091024495986945,3
50,42,0.1,2,9,-10.5,0.0,0.0628730925778325,3
50,43,0.1,2,8,9.5,0.0,0.19293297134506965,2
50,44,0.1,2,9,-10.5,0.0,0.19787880763149762,3
50,45,0.1,2,9,-0.5,0.0,0.1162617155182016,3
50,46,0.1,2,9,-0.5,0.0,0.19355261623524084,3
50,47,0.1,2,9,-0.5,0.0,0.16647881018134003,3
50,48,0.1,3,9,9.5,0.0,0.15680096081785735,1
50,49,0.1,3,9,-0.5,0.0,0.24762331167521368,3
51,0,0.1,0,0,-0.5,0.0,0.11778154630524594,0
51,1,0.1,0,1,9.5,0.0,0.23324067416638866,3
51,2,0.1,0,0,-10.5,0.0,0.23758328047823324,2
51,3,0.1,0,0,-0.5,0.0,0.19923663224993338,2
51,4,0.1,0,1,9.5,0.0,0.0859090163196006,3
51,5,0.1,1,1,9.5,0.0,0.15414224123503167,1
51,6,0.1,1,2,9.5,0.0,0.17611528376151703,3
51,7,0.1,2,2,9.5,0.0,0.16264254219230448,1
51,8,0.1,2,1,-10.5,0.0,0.11167450702636975,2
51,9,0.1,2,2,9.5,0.0,0.06586612686450594,3
51,10,0.1,1,2,-10.5,0.0,0.23011601978780566,0
51,11,0.1,0,2,-10.5,0.0,0.07529290951137341,0
51,12,0.1,0,3,9.5,0.0,0.09371008106696431,3
51,13,0.1,0,2,-10.5,0.0,0.19882550674940902,2
51,14,0.1,0,3,9.5,0.0,0.14743240949581754,3
51,15,0.1,1,3,9.5,0.0,0.16121381540882052,1
51,16,0.1,2,3,9.5,0.0,0.1302422517427332,1
51,17,0.1,2,4,9.5,0.0,0.22724658060986952,3
51,18,0.1,1,4,-10.5,0.0,0.08214765049440836,0
51,19,0.1,0,4,-10.5,0.0,0.24016487131867909,0
51,20,0.1,0,3,-10.5,0.0,0.09598605100243934,2
51,21,0.1,1,3,9.5,0.0,0.18601694469350932,1
51,22,0.1,1,4,9.5,0.0,0.1738560496257608,3
51,23,0.1,1,3,-10.5,0.0,0.07840112543407066,2
51,24,0.1,0,3,-10.5,0.0,0.06248477735482308,0
51,25,0.1,0,2,-10.5,0.0,0.1616727831353601,2
51,26,0.1,0,2,-0.5,0.0,0.22116040765272754,0
51,27,0.1,1,2,9.5,0.0,0.18049343489957764,1
51,28,0.1,1,1,-10.5,0.0,0.0696943177165593,2
51,29,0.1,1,0,-10.5,0.0,0.2415927421813195,2
51,30,0.1,1,0,-0.5,0.0,0.24336967820236738,2
51,31,0.1,2,0,9.5,0.0,0.1689081739049554,1
51,32,0.1,2,1,9.5,0.0,0.13697591857687136,3
51,33,0.1,3,1,9.5,0.0,0.0872861496226752,1
51,34,0.1,2,1,-10.5,0.0,0.09204782922442077,0
51,35,0.1,3,1,9.5,0.0,0.06864532215833258,1
51,36,0.1,4,1,9.5,0.0,0.05134073617830093,1
51,37,0.1,4,0,-10.5,0.0,0.18853736466158694,2
51,38,0.1,5,0,-10.5,0.0,0.19534662796873825,1
51,39,0.1,4,0,9.5,0.0,0.09786775296982433,0
51,40,0.1,4,1,9.5,0.0,0.11369167133525511,3
51,41,0.1,4,2,9.5,0.0,0.19850036287368011,3
51,42,0.1,5,2,-10.5,0.0,0.07011713652732512,1
51,43,0.1,5,3,9.5,0.0,0.23169776887531007,3
51,44,0.1,6,3,-10.5,0.0,0.2056482425570667,1
51,45,0.1,6,4,9.5,0.0,0.2397442445349972,3
51,46,0.1,5,4,-189.5,0.0,0.1514108581805363,0
52,0,0.1,0,0,-0.5,0.0,0.12654284735882598,0
52,1,0.1,1,0,9.5,0.0,0.13427320439540508,1
52,2,0.1,1,0,-0.5,0.0,0.19980753588885747,2
52,3,0.1,1,0,-0.5,0.0,0.1821072835165644,2
52,4,0.1,1,0,-0.5,0.0,0.06334445400552291,2
52,5,0.1,2,0,9.5,0.0,0.236098581118446,1
52,6,0.1,2,1,9.5,0.0,0.10851481966432966,3
52,7,0.1,1,1,-10.5,0.0,0.06927791986806256,0
52,8,0.1,1,0,-10.5,0.0,0.1775138004744627,2
52,9,0.1,0,0,-10.5,0.0,0.1013520519425456,0
52,10,0.1,0,1,9.5,0.0,0.08335355759880653,3
52,11,0.1,1,1,9.5,0.0,0.0986159609771291,1
52,12,0.1,1,2,9.5,0.0,0.14086336136069094,3
52,13,0.1,1,3,9.5,0.0,0.22856004786530038,3
52,14,0.1,1,2,-10.5,0.0,0.13733914319151963,2
52,15,0.1,1,1,-10.5,0.0,0.2058807184209715,2
52,16,0.1,2,1,9.5,0.0,0.06520356923824396,1
52,17,0.1,2,2,9.5,0.0,0.24866821772210757,3
52,18,0.1,2,1,-10.5,0.0,0.06927776489981702,2
52,19,0.1,2,2,9.5,0.0,0.054612911832344735,3
52,20,0.1,2,3,9.5,0.0,0.06021318027772558,3
52,21,0.1,2,4,9.5,0.0,0.18582684778831005,3
52,22,0.1,2,5,-10.5,0.0,0.1022994807781451,3
52,23,0.1,2,6,-10.5,0.0,0.2079924641705284,3
