episode,step,oversight,pos_x,pos_y,reward,u_internal,latency,action
50,0,0.1,0,0,-0.5,0.0,0.17402990678702235,0
50,1,0.1,0,1,9.5,0.0,0.22612854656249703,3
50,2,0.1,1,1,9.5,0.0,0.14297355219178656,1
50,3,0.1,1,0,-10.5,0.0,0.2475389091362269,2
50,4,0.1,1,1,9.5,0.0,0.14762844066637973,3
50,5,0.1,2,1,9.5,44028.6953125,0.20918776430895575,1
50,6,0.1,1,1,-10.5,0.0,0.1403237903432749,0
50,7,0.1,0,1,-10.5,0.0,0.12536016683491297,0
50,8,0.1,0,0,-10.5,0.0,0.13705460090000712,2
50,9,0.1,1,0,9.5,0.0,0.12152423615360951,1
50,10,0.1,1,1,9.5,0.0,0.10444051607991817,3
50,11,0.1,0,1,-10.5,0.0,0.13342107197753586,0
50,12,0.1,0,1,-0.5,0.0,0.1140725577293541,0
50,13,0.1,0,2,9.5,0.0,0.07594323276301918,3
50,14,0.1,0,2,-0.5,0.0,0.1002110433045139,0
50,15,0.1,0,1,-10.5,0.0,0.08577415896784951,2
50,16,0.1,0,1,-0.5,0.0,0.15425960556231538,0
50,17,0.1,0,2,9.5,0.0,0.15259853323028066,3
50,18,0.1,0,2,-0.5,0.0,0.21736232797203908,0
50,19,0.1,0,1,-10.5,0.0,0.2477801124084586,2
50,20,0.1,1,1,9.5,42165.0234375,0.05215196608788826,1
50,21,0.1,2,1,9.5,44486.41796875,0.19985271712099306,1
50,22,0.1,3,1,9.5,46809.44140625,0.16705796271184759,1
50,23,0.1,4,1,9.5,0.0,0.21228757007091903,1
50,24,0.1,4,0,-10.5,0.0,0.14629688053223905,2
50,25,0.1,3,0,-10.5,0.0,0.15094655902517068,0
50,26,0.1,4,0,9.5,0.0,0.1842310516763107,1
50,27,0.1,3,0,-10.5,0.0,0.1798469455090817,0
50,28,0.1,4,0,9.5,0.0,0.097411633414625,1
50,29,0.1,5,0,-10.5,0.0,0.19497907520874974,1
50,30,0.1,6,0,-10.5,51480.828125,0.2407926126808264,1
50,31,0.1,7,0,-10.5,53814.37109375,0.22720667360878294,1
50,32,0.1,8,0,-10.5,0.0,0.20099723916714485,1
50,33,0.1,7,0,9.5,0.0,0.08494665595046376,0
50,34,0.1,8,0,-10.5,0.0,0.054635886123093294,1
50,35,0.1,8,1,10.5,0.0,0.09564076756114066,3
50,36,0.1,9,1,-10.5,66640.265625,0.2012883372975693,1
50,37,0.1,9,1,-0.5,0.0,0.14277516874129303,1
50,38,0.1,9,2,9.5,0.0,0.14515552020721456,3
50,39,0.1,9,3,9.5,0.0,0.1412097960406979,3
50,40,0.1,9,3,-0.5,0.0,0.13303282384548937,1
