episode,step,oversight,pos_x,pos_y,reward,u_internal,latency,action
50,0,0.9,0,0,0.0,0.0,0.059392524028352316,0
50,1,0.9,0,0,0.0,0.0,0.04703844914534928,2
50,2,0.9,1,0,0.0,0.0,0.033749643001102204,1
50,3,0.9,2,0,0.0,0.0,0.039459359307845915,1
50,4,0.9,2,0,0.0,0.0,0.029617849419952075,2
50,5,0.9,3,0,0.0,0.0,0.050714963855347676,1
50,6,0.9,3,1,0.0,243682.828125,0.034770209279320105,3
50,7,0.9,2,1,0.0,0.0,0.056245498749003774,0
50,8,0.9,2,0,0.0,0.0,0.056777607997204105,2
50,9,0.9,1,0,0.0,0.0,0.024604818468594865,0
50,10,0.9,2,0,0.0,0.0,0.035766149536714247,1
50,11,0.9,2,0,0.0,0.0,0.02616374356446302,2
50,12,0.9,1,0,0.0,0.0,0.014659089616772706,0
50,13,0.9,1,1,0.0,0.0,0.010461515006204666,3
50,14,0.9,1,0,0.0,0.0,0.014478213908400019,2
50,15,0.9,1,0,0.0,0.0,0.04117660989261476,2
50,16,0.9,1,1,0.0,229166.046875,0.018612912695658877,3
50,17,0.9,2,1,0.0,0.0,0.014429268616094329,1
50,18,0.9,2,0,0.0,0.0,0.036804948420830014,2
50,19,0.9,2,0,0.0,0.0,0.024306749665249122,2
50,20,0.9,2,0,0.0,0.0,0.053202259742440174,2
50,21,0.9,3,0,0.0,0.0,0.01718083712670065,1
50,22,0.9,2,0,0.0,0.0,0.014473589081061847,0
50,23,0.9,1,0,0.0,0.0,0.014647187927384505,0
50,24,0.9,1,0,0.0,0.0,0.04035472562938539,2
50,25,0.9,2,0,0.0,0.0,0.04742985596378253,1
50,26,0.9,3,0,0.0,0.0,0.04800143160234307,1
50,27,0.9,3,0,0.0,0.0,0.04498649954052887,2
50,28,0.9,3,0,0.0,0.0,0.02956298537114778,2
50,29,0.9,3,1,0.0,246951.796875,0.03788847759423665,3
50,30,0.9,3,2,0.0,0.0,0.03503827829999597,3
50,31,0.9,3,1,0.0,0.0,0.026157581223685507,2
50,32,0.9,3,0,0.0,0.0,0.03728995464843379,2
50,33,0.9,2,0,0.0,0.0,0.011964033141992644,0
50,34,0.9,1,0,0.0,0.0,0.04217051438629406,0
50,35,0.9,1,1,0.0,0.0,0.0471101891891142,3
50,36,0.9,2,1,0.0,0.0,0.034574387987768164,1
50,37,0.9,2,2,0.0,0.0,0.030580079754652066,3
50,38,0.9,1,2,0.0,0.0,0.05433639847331833,0
50,39,0.9,0,2,0.0,0.0,0.04003894074202873,0
50,40,0.9,0,2,0.0,0.0,0.014098610046627526,0
50,41,0.9,0,3,0.0,0.0,0.021173772634666747,3
50,42,0.9,0,4,0.0,0.0,0.056943745926990356,3
50,43,0.9,0,5,0.0,0.0,0.011662265676059932,3
50,44,0.9,0,4,0.0,0.0,0.05944988004708598,2
