episode,step,oversight,pos_x,pos_y,reward,u_internal,latency,action
50,0,0.1,0,0,0.0,0.0,0.09684836933837378,2
50,1,0.1,0,0,0.0,0.0,0.07040184802400701,0
50,2,0.1,1,0,0.0,0.0,0.10129723755283648,1
50,3,0.1,2,0,0.0,0.0,0.08883996313043363,1
50,4,0.1,3,0,0.0,0.0,0.09547806184913084,1
50,5,0.1,4,0,0.0,0.0,0.11117789578770346,1
50,6,0.1,4,1,0.0,0.0,0.19894374633282313,3
50,7,0.1,5,1,0.0,0.0,0.15632012943077478,1
50,8,0.1,4,1,0.0,0.0,0.2271964006953338,0
50,9,0.1,4,0,0.0,0.0,0.18695584664834697,2
50,10,0.1,4,0,0.0,0.0,0.058979072859473264,2
50,11,0.1,5,0,0.0,0.0,0.14479031382966445,1
50,12,0.1,6,0,0.0,0.0,0.14906080463870974,1
50,13,0.1,5,0,0.0,0.0,0.0823088387598846,0
50,14,0.1,6,0,0.0,0.0,0.15935127908346164,1
50,15,0.1,6,0,0.0,0.0,0.07003530217158374,2
50,16,0.1,6,0,0.0,0.0,0.06743521330332986,2
50,17,0.1,6,0,0.0,0.0,0.1777599340533531,2
50,18,0.1,7,0,0.0,0.0,0.15250507943417524,1
50,19,0.1,6,0,0.0,0.0,0.230260776563819,0
50,20,0.1,7,0,0.0,0.0,0.06773813907179321,1
50,21,0.1,7,0,0.0,0.0,0.14792806249808071,2
50,22,0.1,8,0,0.0,44161.6015625,0.06430353688979913,1
50,23,0.1,8,0,0.0,0.0,0.17837071954436573,2
50,24,0.1,9,0,0.0,0.0,0.12471008127911885,1
50,25,0.1,8,0,0.0,0.0,0.22568196385004485,0
50,26,0.1,8,1,0.0,0.0,0.0842249724566447,3
50,27,0.1,7,1,0.0,0.0,0.12804770714842756,0
50,28,0.1,7,2,0.0,0.0,0.1776839903816842,3
50,29,0.1,6,2,0.0,0.0,0.11365177530721358,0
50,30,0.1,7,2,0.0,0.0,0.06359882985962095,1
50,31,0.1,6,2,0.0,0.0,0.23129470654125256,0
50,32,0.1,6,3,0.0,0.0,0.05848205833988616,3
50,33,0.1,6,4,0.0,0.0,0.10616433983789844,3
50,34,0.1,5,4,0.0,0.0,0.17107572629643175,0
50,35,0.1,4,4,0.0,0.0,0.18875204800291517,0
50,36,0.1,3,4,0.0,0.0,0.07878547984055871,0
50,37,0.1,3,5,0.0,0.0,0.07279777318791025,3
50,38,0.1,2,5,0.0,0.0,0.23646270479439385,0
50,39,0.1,3,5,0.0,0.0,0.14963873606891837,1
50,40,0.1,2,5,0.0,0.0,0.23716013912627915,0
50,41,0.1,3,5,0.0,0.0,0.20140355129379678,1
50,42,0.1,3,4,0.0,0.0,0.08395317473228064,2
