episode,step,oversight,pos_x,pos_y,reward,u_internal,latency,action
50,0,0.1,0,0,0.0,0.0,0.148698557777106,0
50,1,0.1,0,0,0.0,0.0,0.20523958280033955,2
50,2,0.1,0,0,0.0,0.0,0.23953914402618204,0
50,3,0.1,0,1,0.0,0.0,0.1908423038761748,3
50,4,0.1,0,1,0.0,0.0,0.06126750558967307,0
50,5,0.1,0,0,0.0,0.0,0.19032305630256557,2
50,6,0.1,1,0,0.0,0.0,0.06102570351639369,1
50,7,0.1,1,1,0.0,0.0,0.16887556305278928,3
50,8,0.1,1,2,0.0,0.0,0.12046831474541245,3
50,9,0.1,1,1,0.0,0.0,0.10456562234009592,2
50,10,0.1,0,1,0.0,0.0,0.17902707008704594,0
50,11,0.1,1,1,0.0,0.0,0.22374697266041899,1
50,12,0.1,1,0,0.0,0.0,0.21585595012732306,2
50,13,0.1,2,0,0.0,0.0,0.07349780591829214,1
50,14,0.1,2,1,0.0,0.0,0.2114175215096865,3
50,15,0.1,2,0,0.0,0.0,0.10182299138331447,2
50,16,0.1,1,0,0.0,0.0,0.06909967186362764,0
50,17,0.1,1,1,0.0,0.0,0.16407544938775043,3
50,18,0.1,0,1,0.0,0.0,0.20034119362009734,0
50,19,0.1,0,0,0.0,0.0,0.142755996541702,2
50,20,0.1,1,0,0.0,0.0,0.19892459754040015,1
50,21,0.1,0,0,0.0,0.0,0.07531108285780282,0
50,22,0.1,0,1,0.0,0.0,0.23803783120188732,3
50,23,0.1,0,0,0.0,0.0,0.08734943650399998,2
50,24,0.1,0,0,0.0,0.0,0.18384286987274684,2
50,25,0.1,0,0,0.0,0.0,0.23563410399455292,2
50,26,0.1,0,0,0.0,0.0,0.18825859954379714,0
50,27,0.1,0,0,0.0,0.0,0.15209860355197402,0
50,28,0.1,0,0,0.0,0.0,0.1915536156881879,0
50,29,0.1,0,1,0.0,0.0,0.1939613674157028,3
50,30,0.1,1,1,0.0,0.0,0.22514378725850742,1
50,31,0.1,2,1,0.0,0.0,0.09950598659112589,1
50,32,0.1,2,0,0.0,0.0,0.2394425884210301,2
50,33,0.1,3,0,0.0,0.0,0.08869118464405744,1
50,34,0.1,3,0,0.0,0.0,0.1923251034657697,2
50,35,0.1,4,0,0.0,0.0,0.12319965939999095,1
50,36,0.1,3,0,0.0,0.0,0.10043177225505065,0
50,37,0.1,2,0,0.0,0.0,0.07270863188417871,0
50,38,0.1,3,0,0.0,0.0,0.11705091416024722,1
50,39,0.1,3,1,0.0,0.0,0.20123260427981388,3
50,40,0.1,3,0,0.0,0.0,0.14124995432082893,2
50,41,0.1,3,0,0.0,0.0,0.0718926116009931,2
50,42,0.1,3,1,0.0,0.0,0.19881903051730715,3
50,43,0.1,3,0,0.0,0.0,0.05811329306629492,2
50,44,0.1,2,0,0.0,0.0,0.16014866584016546,0
50,45,0.1,2,1,0.0,0.0,0.2358025738939878,3
50,46,0.1,2,2,0.0,2034.4010009765625,0.09464606863632796,3
50,47,0.1,3,2,0.0,0.0,0.14283307493957648,1
50,48,0.1,2,2,0.0,0.0,0.11585384822036922,0
50,49,0.1,2,3,0.0,0.0,0.10136180522044883,3
51,0,0.1,0,0,0.0,0.0,0.18286191938326435,0
51,1,0.1,0,0,0.0,0.0,0.15439131631107078,2
51,2,0.1,0,1,0.0,0.0,0.2465770173656548,3
51,3,0.1,0,0,0.0,0.0,0.2144890327799353,2
51,4,0.1,0,1,0.0,0.0,0.07246962643518934,3
51,5,0.1,0,2,0.0,0.0,0.16633353056403216,3
51,6,0.1,1,2,0.0,0.0,0.11544444783794278,1
51,7,0.1,2,2,0.0,0.0,0.18921188677646666,1
51,8,0.1,2,1,0.0,0.0,0.13603350343764992,2
51,9,0.1,3,1,0.0,0.0,0.12969407379934797,1
51,10,0.1,3,0,0.0,0.0,0.2264538895994524,2
51,11,0.1,4,0,0.0,0.0,0.09943558119268209,1
51,12,0.1,4,1,0.0,2216.637451171875,0.21504131141374805,3
51,13,0.1,4,0,0.0,0.0,0.17940287950026307,2
51,14,0.1,4,0,0.0,0.0,0.10493009150668858,2
51,15,0.1,4,0,0.0,0.0,0.23372739404414544,2
51,16,0.1,3,0,0.0,0.0,0.12138188889416957,0
51,17,0.1,4,0,0.0,0.0,0.126136836522448,1
51,18,0.1,5,0,0.0,0.0,0.09506891677651774,1
51,19,0.1,6,0,0.0,0.0,0.21026689273557664,1
51,20,0.1,6,0,0.0,0.0,0.18153357292271682,2
51,21,0.1,7,0,0.0,0.0,0.10518101492857597,1
51,22,0.1,6,0,0.0,0.0,0.12035142772635046,0
