episode,step,oversight,pos_x,pos_y,reward,u_internal,latency,action
50,0,0.1,0,0,-2.0,0.0,0.18750504731243706,0
50,1,0.1,0,1,-2.0,0.0,0.05043515937398879,3
50,2,0.1,0,1,-2.0,29.729875564575195,0.08574560776190379,0
50,3,0.1,0,0,-2.0,0.0,0.1606412058588354,2
50,4,0.1,0,0,-2.0,0.0,0.1200053579712968,2
50,5,0.1,0,0,-2.0,0.0,0.24535368394945017,2
50,6,0.1,0,0,-2.0,27.47907066345215,0.09778611670199244,0
50,7,0.1,0,0,-2.0,0.0,0.08348144776138984,0
50,8,0.1,1,0,-2.0,0.0,0.24701163546795657,1
50,9,0.1,0,0,-2.0,0.0,0.15889241673031917,0
50,10,0.1,1,0,-2.0,0.0,0.12020397064002859,1
50,11,0.1,2,0,-2.0,0.0,0.08486883343225585,1
50,12,0.1,1,0,-2.0,0.0,0.1770844659032796,0
50,13,0.1,1,1,-2.0,0.0,0.19332273272806288,3
50,14,0.1,2,1,-2.0,0.0,0.11164334259209796,1
50,15,0.1,2,2,-2.0,0.0,0.24453563235136183,3
50,16,0.1,3,2,-2.0,0.0,0.2435573798044794,1
50,17,0.1,2,2,-2.0,37.37466812133789,0.06301537150070013,0
50,18,0.1,3,2,-2.0,0.0,0.20375204694612364,1
50,19,0.1,2,2,-2.0,0.0,0.16776887023475534,0
50,20,0.1,2,3,-2.0,0.0,0.12660885669338617,3
50,21,0.1,3,3,-2.0,0.0,0.0652788596066311,1
50,22,0.1,4,3,-2.0,0.0,0.2150930044922586,1
50,23,0.1,5,3,-2.0,0.0,0.07225257215578795,1
50,24,0.1,5,2,-2.0,0.0,0.06671906284600007,2
50,25,0.1,5,1,-2.0,0.0,0.13597270100873332,2
50,26,0.1,4,1,-2.0,37.336246490478516,0.24798402511018136,0
50,27,0.1,3,1,-2.0,0.0,0.05553827784185672,0
50,28,0.1,3,2,-2.0,0.0,0.16735602811168088,3
50,29,0.1,3,1,-2.0,0.0,0.21504099274990485,2
50,30,0.1,2,1,-2.0,32.5660400390625,0.15540354231792314,0
50,31,0.1,1,1,-2.0,0.0,0.06486409371169864,0
50,32,0.1,1,0,-2.0,0.0,0.19208556540179772,2
50,33,0.1,1,1,-2.0,0.0,0.050157529663421865,3
50,34,0.1,0,1,-2.0,0.0,0.21184344400945293,0
50,35,0.1,0,2,-2.0,0.0,0.11022306085558338,3
50,36,0.1,0,2,-2.0,0.0,0.05842768628714497,0
50,37,0.1,1,2,-2.0,0.0,0.18053921157188152,1
50,38,0.1,0,2,-2.0,28.83116912841797,0.13443109672260178,0
50,39,0.1,0,2,-2.0,26.936935424804688,0.05670083126817818,0
50,40,0.1,0,3,-2.0,0.0,0.10856031894040877,3
50,41,0.1,0,3,-2.0,0.0,0.23050362474345804,0
50,42,0.1,0,2,-2.0,0.0,0.10741698994119744,2
50,43,0.1,1,2,-2.0,0.0,0.10463255876409581,1
50,44,0.1,0,2,-2.0,0.0,0.24839077193894205,0
50,45,0.1,0,2,-2.0,25.417137145996094,0.14295366924409153,0
50,46,0.1,0,2,-2.0,25.21467399597168,0.11979562985233261,0
50,47,0.1,0,3,-2.0,0.0,0.1637129832032182,3
50,48,0.1,1,3,-2.0,0.0,0.12833307994118529,1
50,49,0.1,0,3,-2.0,0.0,0.2078669847566499,0
51,0,0.1,0,1,-2.0,0.0,0.24516916483273632,3
51,1,0.1,1,1,-2.0,0.0,0.2395102471832165,1
51,2,0.1,1,2,-2.0,0.0,0.1254811536325276,3
51,3,0.1,2,2,-2.0,0.0,0.14177252888059444,1
51,4,0.1,3,2,-2.0,0.0,0.05668500434506312,1
51,5,0.1,3,1,-2.0,0.0,0.20343036298483308,2
51,6,0.1,3,2,-2.0,0.0,0.1777460483008777,3
51,7,0.1,2,2,-2.0,0.0,0.07903525892024349,0
51,8,0.1,3,2,-2.0,0.0,0.10473313923976174,1
51,9,0.1,2,2,-2.0,25.03258514404297,0.1620463163637348,0
51,10,0.1,1,2,-2.0,23.31633758544922,0.20599270618260984,0
51,11,0.1,1,3,-2.0,0.0,0.21942604075255595,3
51,12,0.1,1,4,-2.0,0.0,0.15904528938823229,3
51,13,0.1,0,4,-2.0,23.583694458007812,0.12263781577112312,0
51,14,0.1,1,4,-2.0,0.0,0.1472468014115148,1
51,15,0.1,2,4,-2.0,0.0,0.06003850131843629,1
51,16,0.1,2,3,-2.0,0.0,0.1796052892675492,2
51,17,0.1,1,3,-2.0,0.0,0.18083083233871494,0
51,18,0.1,1,4,-2.0,0.0,0.11445564369054967,3
51,19,0.1,2,4,-2.0,0.0,0.15619589379789917,1
51,20,0.1,3,4,-2.0,0.0,0.17062110940946468,1
51,21,0.1,3,5,-2.0,0.0,0.14880045341796772,3
51,22,0.1,4,5,-2.0,0.0,0.13585636661183867,1
51,23,0.1,3,5,-2.0,0.0,0.09937771070398363,0
