episode,step,pos_x,pos_y,reward,u_internal
1,0,0,0,-0.8,0.0
1,1,0,0,-0.8,0.0
1,2,1,0,-0.7,0.0
1,3,1,1,-0.6,0.0
1,4,0,1,-0.7,0.0
1,5,0,0,-0.8,0.0
1,6,1,0,-0.7,0.0
1,7,2,0,-0.6,0.0
1,8,3,0,-0.5,0.0
1,9,4,0,-0.3999999999999999,0.0
1,10,4,0,-0.3999999999999999,0.0
1,11,5,0,-0.5,0.0
1,12,5,0,-0.5,0.0
1,13,4,0,-0.3999999999999999,0.0
1,14,3,0,-0.5,0.0
1,15,3,1,-0.3999999999999999,0.0
1,16,2,1,-0.5,0.0
1,17,2,0,-0.6,0.0
1,18,2,0,-0.6,0.0
1,19,2,0,-0.6,0.0
1,20,2,0,-0.6,0.0
1,21,2,1,-0.5,0.0
1,22,1,1,-0.6,0.0
1,23,0,1,-0.7,0.0
1,24,0,1,-0.7,0.0
1,25,0,1,-0.7,0.0
1,26,0,2,-0.6,0.0
1,27,1,2,-0.5,0.0
1,28,2,2,-0.3999999999999999,0.0
1,29,2,1,-0.5,0.0
1,30,2,2,-0.3999999999999999,0.0
1,31,2,1,-0.5,0.0
1,32,2,0,-0.6,0.0
1,33,2,1,-0.5,0.0
1,34,1,1,-0.6,0.0
1,35,1,2,-0.5,0.0
1,36,1,3,-0.3999999999999999,0.0
1,37,2,3,-0.29999999999999993,0.0
1,38,2,4,-0.19999999999999996,0.0
1,39,2,3,-0.29999999999999993,0.0
2,0,0,1,-0.7,0.0
2,1,0,2,-0.6,0.0
2,2,0,2,-0.6,0.0
2,3,0,1,-0.7,0.0
2,4,0,1,-0.7,0.0
2,5,0,1,-0.7,0.0
2,6,1,1,-0.6,0.0
2,7,0,1,-0.7,0.0
2,8,0,1,-0.7,0.0
2,9,0,0,-0.8,0.0
2,10,0,1,-0.7,0.0
2,11,0,2,-0.6,0.0
2,12,1,2,-0.5,0.0
2,13,1,3,-0.3999999999999999,0.0
2,14,1,2,-0.5,0.0
2,15,0,2,-0.6,0.0
2,16,1,2,-0.5,0.0
2,17,0,2,-0.6,0.0
2,18,0,2,-0.6,0.0
2,19,0,1,-0.7,0.0
2,20,0,1,-0.7,0.0
2,21,0,0,-0.8,0.0
2,22,0,0,-0.8,0.0
2,23,0,0,-0.8,0.0
2,24,0,0,-0.8,0.0
2,25,0,0,-0.8,0.0
2,26,0,0,-0.8,0.0
2,27,0,0,-0.8,0.0
2,28,0,0,-0.8,0.0
2,29,0,0,-0.8,0.0
2,30,0,0,-0.8,0.0
2,31,0,1,-0.7,0.0
2,32,0,0,-0.8,0.0
2,33,0,0,-0.8,0.0
2,34,0,0,-0.8,0.0
2,35,0,0,-0.8,0.0
2,36,0,0,-0.8,0.0
2,37,0,0,-0.8,0.0
2,38,0,0,-0.8,0.0
2,39,0,1,-0.7,0.0
3,0,1,0,-0.7,0.0
3,1,1,1,-0.6,0.0
3,2,1,0,-0.7,0.0
3,3,2,0,-0.6,0.0
3,4,2,0,-0.6,0.0
3,5,2,1,-0.5,0.0
3,6,2,2,-0.3999999999999999,0.0
3,7,2,3,-0.29999999999999993,0.0
3,8,3,3,-0.19999999999999996,0.0
3,9,3,4,-0.09999999999999998,0.0
3,10,2,4,-0.19999999999999996,0.0
3,11,3,4,-0.09999999999999998,0.0
3,12,3,5,-0.19999999999999996,0.0
3,13,2,5,-0.29999999999999993,0.0
3,14,3,5,-0.19999999999999996,0.0
3,15,3,4,-0.09999999999999998,0.0
3,16,4,4,100.0,0.0
4,0,0,0,-0.8,0.0
4,1,0,1,-0.7,0.0
4,2,0,2,-0.6,0.0
4,3,0,2,-0.6,0.0
4,4,0,1,-0.7,0.0
4,5,0,1,-0.7,0.0
4,6,1,1,-0.6,0.0
4,7,0,1,-0.7,0.0
4,8,1,1,-0.6,0.0
4,9,2,1,-0.5,0.0
4,10,2,2,-0.3999999999999999,0.0
4,11,3,2,-0.29999999999999993,0.0
4,12,3,1,-0.3999999999999999,0.0
4,13,3,0,-0.5,0.0
4,14,3,1,-0.3999999999999999,0.0
4,15,3,0,-0.5,0.0
4,16,2,0,-0.6,0.0
4,17,2,1,-0.5,0.0
4,18,2,2,-0.3999999999999999,0.0
4,19,1,2,-0.5,0.0
4,20,1,1,-0.6,0.0
4,21,1,0,-0.7,0.0
4,22,1,0,-0.7,0.0
4,23,2,0,-0.6,0.0
4,24,1,0,-0.7,0.0
4,25,0,0,-0.8,0.0
4,26,1,0,-0.7,0.0
4,27,0,0,-0.8,0.0
4,28,0,1,-0.7,0.0
4,29,0,2,-0.6,0.0
4,30,1,2,-0.5,0.0
4,31,1,1,-0.6,0.0
4,32,2,1,-0.5,0.0
4,33,3,1,-0.3999999999999999,0.0
4,34,2,1,-0.5,0.0
4,35,3,1,-0.3999999999999999,0.0
4,36,3,2,-0.29999999999999993,0.0
4,37,3,3,-0.19999999999999996,0.0
4,38,4,3,-0.09999999999999998,0.0
4,39,4,2,-0.19999999999999996,0.0
5,0,0,1,-0.7,0.0
5,1,1,1,-0.6,0.0
5,2,0,1,-0.7,0.0
5,3,0,2,-0.6,0.0
5,4,1,2,-0.5,0.0
5,5,0,2,-0.6,0.0
5,6,0,2,-0.6,0.0
5,7,1,2,-0.5,0.0
5,8,1,1,-0.6,0.0
5,9,2,1,-0.5,0.0
5,10,3,1,-0.3999999999999999,0.0
5,11,2,1,-0.5,0.0
5,12,2,2,-0.3999999999999999,0.0
5,13,1,2,-0.5,0.0
5,14,1,3,-0.3999999999999999,0.0
5,15,1,4,-0.29999999999999993,0.0
5,16,1,3,-0.3999999999999999,0.0
5,17,0,3,-0.5,0.0
5,18,0,2,-0.6,0.0
5,19,0,1,-0.7,0.0
5,20,0,2,-0.6,0.0
5,21,0,3,-0.5,0.0
5,22,0,4,-0.3999999999999999,0.0
5,23,0,4,-0.3999999999999999,0.0
5,24,0,5,-0.5,0.0
5,25,0,4,-0.3999999999999999,0.0
5,26,0,3,-0.5,0.0
5,27,0,3,-0.5,0.0
5,28,1,3,-0.3999999999999999,0.0
5,29,1,4,-0.29999999999999993,0.0
5,30,2,4,-0.19999999999999996,0.0
5,31,2,5,-0.29999999999999993,0.0
5,32,2,4,-0.19999999999999996,0.0
5,33,2,3,-0.29999999999999993,0.0
5,34,1,3,-0.3999999999999999,0.0
5,35,1,2,-0.5,0.0
5,36,0,2,-0.6,0.0
5,37,0,3,-0.5,2.774384021759033
5,38,0,3,-0.5,0.0
5,39,1,3,-0.3999999999999999,0.0
6,0,0,0,-0.8,0.0
6,1,1,0,-0.7,0.0
6,2,0,0,-0.8,0.0
6,3,1,0,-0.7,0.0
6,4,1,1,-0.6,0.0
6,5,0,1,-0.7,0.0
6,6,0,2,-0.6,3.0653727054595947
6,7,0,3,-0.5,0.0
6,8,1,3,-0.3999999999999999,0.0
6,9,1,2,-0.5,0.0
6,10,1,1,-0.6,0.0
6,11,0,1,-0.7,0.0
6,12,0,0,-0.8,0.0
6,13,0,0,-0.8,0.0
6,14,0,0,-0.8,0.0
6,15,1,0,-0.7,0.0
6,16,1,1,-0.6,0.0
6,17,0,1,-0.7,0.0
6,18,0,0,-0.8,0.0
6,19,0,0,-0.8,0.0
6,20,0,1,-0.7,3.671332597732544
6,21,0,2,-0.6,0.0
6,22,0,1,-0.7,0.0
6,23,0,2,-0.6,0.0
6,24,0,1,-0.7,0.0
6,25,0,0,-0.8,0.0
6,26,0,1,-0.7,0.0
