episode,step,oversight,pos_x,pos_y,has_treasure,action,reward,R_internal,R_social,R_penalty,is_conflict,is_exploring,greed_best_action,comp_best_action,action_str
1,0,0.8602490988272601,0,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
1,1,0.8602490988272601,1,1,0,1,-2.0,0.0,0.0,0.0,0,1,down,down,down
1,2,0.8602490988272601,1,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,down,left
1,3,0.8602490988272601,2,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,down,down
1,4,0.8602490988272601,1,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,5,0.8602490988272601,1,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
1,6,0.8602490988272601,0,1,0,0,-2.0,0.0,0.0,0.0,0,1,right,down,up
1,7,0.8602490988272601,1,1,0,1,-2.0,0.0,0.0,0.0,0,1,down,down,down
1,8,0.8602490988272601,1,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,down,left
1,9,0.8602490988272601,2,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,down,down
1,10,0.8602490988272601,2,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,11,0.8602490988272601,2,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,down,left
1,12,0.8602490988272601,1,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,13,0.8602490988272601,2,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,down,down
1,14,0.8602490988272601,1,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,15,0.8602490988272601,1,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
1,16,0.8602490988272601,1,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,down,left
1,17,0.8602490988272601,0,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,down,up
1,18,0.8602490988272601,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,down,left
1,19,0.8602490988272601,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,down,left
1,20,0.8602490988272601,0,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
1,21,0.8602490988272601,0,1,0,0,-2.0,0.0,0.0,0.0,0,1,down,down,up
1,22,0.8602490988272601,0,1,0,0,-2.0,0.0,0.0,0.0,0,1,down,down,up
1,23,0.8602490988272601,1,1,0,1,-2.0,0.0,0.0,0.0,0,1,down,down,down
1,24,0.8602490988272601,1,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,down,left
1,25,0.8602490988272601,2,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,down,down
1,26,0.8602490988272601,3,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,27,0.8602490988272601,4,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,28,0.8602490988272601,4,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,29,0.8602490988272601,4,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,30,0.8602490988272601,3,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,31,0.8602490988272601,3,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,32,0.8602490988272601,3,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,33,0.8602490988272601,3,2,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,34,0.8602490988272601,3,3,0,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
1,35,0.8602490988272601,4,3,0,1,-2.0,0.0,0.0,0.0,0,1,right,down,down
1,36,0.8602490988272601,4,2,0,2,-2.0,0.0,0.0,0.0,0,1,right,down,left
1,37,0.8602490988272601,3,2,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,38,0.8602490988272601,4,2,0,1,-2.0,0.0,0.0,0.0,0,1,right,down,down
1,39,0.8602490988272601,4,3,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,40,0.8602490988272601,4,4,1,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
1,41,0.8602490988272601,4,5,1,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
1,42,0.8602490988272601,4,4,1,2,-2.0,0.0,0.0,0.0,0,1,left,down,left
1,43,0.8602490988272601,5,4,0,1,-25002.0,0.0,0.0,-25000.0,0,1,right,down,down
2,0,0.8307283575913275,0,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
2,1,0.8307283575913275,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,down,down,left
2,2,0.8307283575913275,1,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,down,down
2,3,0.8307283575913275,1,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
2,4,0.8307283575913275,2,1,0,1,-2.0,0.0,0.0,0.0,0,1,right,down,down
2,5,0.8307283575913275,2,2,0,3,-2.0,0.0,0.0,0.0,0,1,right,down,right
2,6,0.8307283575913275,2,3,0,3,-2.0,0.0,0.0,0.0,0,1,down,down,right
2,7,0.8307283575913275,2,4,0,3,-2.0,0.0,0.0,0.0,0,1,down,down,right
2,8,0.8307283575913275,2,5,0,3,-2.0,0.0,0.0,0.0,0,1,down,down,right
2,9,0.8307283575913275,2,4,0,2,-2.0,0.0,0.0,0.0,0,1,down,down,left
2,10,0.8307283575913275,1,4,0,0,-2.0,0.0,0.0,0.0,0,1,down,down,up
2,11,0.8307283575913275,1,3,0,2,-2.0,0.0,0.0,0.0,0,1,down,down,left
2,12,0.8307283575913275,0,3,0,0,-2.0,0.0,0.0,0.0,0,1,down,down,up
2,13,0.8307283575913275,0,2,0,2,-2.0,0.0,0.0,0.0,0,1,down,down,left
2,14,0.8307283575913275,0,2,0,0,-2.0,0.0,0.0,0.0,0,1,down,down,up
