episode,step,oversight,pos_x,pos_y,has_treasure,action,reward,R_internal,R_social,R_penalty,is_conflict,is_exploring,greed_best_action,comp_best_action,action_str
1,0,0.9347470586006196,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,1,0.9347470586006196,0,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,2,0.9347470586006196,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,3,0.9347470586006196,1,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,4,0.9347470586006196,2,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,5,0.9347470586006196,1,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,6,0.9347470586006196,1,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,7,0.9347470586006196,0,1,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,8,0.9347470586006196,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,9,0.9347470586006196,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,10,0.9347470586006196,0,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,11,0.9347470586006196,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,12,0.9347470586006196,0,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,13,0.9347470586006196,0,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,14,0.9347470586006196,1,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,15,0.9347470586006196,2,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,16,0.9347470586006196,3,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,17,0.9347470586006196,4,0,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,18,0.9347470586006196,4,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,19,0.9347470586006196,4,1,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,20,0.9347470586006196,4,2,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,21,0.9347470586006196,5,2,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,22,0.9347470586006196,5,1,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,23,0.9347470586006196,5,2,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,24,0.9347470586006196,5,1,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,25,0.9347470586006196,5,2,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,26,0.9347470586006196,5,1,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,27,0.9347470586006196,4,1,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,28,0.9347470586006196,5,1,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,29,0.9347470586006196,4,1,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,30,0.9347470586006196,4,2,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,31,0.9347470586006196,3,2,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
1,32,0.9347470586006196,3,3,0,3,-2.0,0.0,0.0,0.0,0,1,right,right,right
1,33,0.9347470586006196,3,2,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,34,0.9347470586006196,3,1,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,35,0.9347470586006196,4,1,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,36,0.9347470586006196,5,1,0,1,-2.0,0.0,0.0,0.0,0,1,right,right,down
1,37,0.9347470586006196,5,0,0,2,-2.0,0.0,0.0,0.0,0,1,right,right,left
1,38,0.9347470586006196,4,0,0,0,-2.0,0.0,0.0,0.0,0,1,right,right,up
