episode,step,oversight,pos_x,pos_y,has_treasure,action,reward,R_internal,R_social,R_penalty,R_shaping_bonus,is_conflict,is_exploring,greed_best_action,comp_best_action,action_str
1,0,0.9553100587737837,0,1,0,3,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,right
1,1,0.9553100587737837,0,2,0,3,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,right
1,2,0.9553100587737837,0,2,0,0,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,up
1,3,0.9553100587737837,1,2,0,1,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,down
1,4,0.9553100587737837,1,1,0,2,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,left
1,5,0.9553100587737837,1,2,0,3,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,right
1,6,0.9553100587737837,1,3,0,3,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,right
1,7,0.9553100587737837,1,4,0,3,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,right
1,8,0.9553100587737837,1,5,0,3,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,right
1,9,0.9553100587737837,1,4,0,2,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,left
1,10,0.9553100587737837,0,4,0,0,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,up
1,11,0.9553100587737837,0,5,0,3,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,right
1,12,0.9553100587737837,0,5,0,0,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,up
1,13,0.9553100587737837,0,4,0,2,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,left
1,14,0.9553100587737837,0,4,0,0,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,up
1,15,0.9553100587737837,1,4,0,1,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,down
1,16,0.9553100587737837,0,4,0,0,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,up
1,17,0.9553100587737837,0,5,0,3,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,right
1,18,0.9553100587737837,0,4,0,2,-2.0,0.0,0.0,0.0,0.0,0,1,down,down,left
